text,Number of Hashtags,Hashtags,Length of tweet,isRetweet
"Dwarka District police is also using #drone services to keep an eye on the miscreants and maintain peace in the area.   
@LtGovDelhi
@CPDelhi
@DelhiPolice https://t.co/AJylLhOUDu",1,['drone'],178,True
Delhi Police is making every effort to restore normalcy. Sec. 144 has been imposed in the affected areas of North East district and strict action will be taken against miscreants and anti social elements.,0,[],204,False
People should not believe in false rumors. It is also appealed to the media not to circulate any disturbing pictures which may further aggravate the situation.,0,[],159,False
"Some incidents of violence and arson have been reported in the areas of North East District, particularly in the areas of Maujpur, Kardampuri, Chand Bagh and Dayalpur. It is appealed to the people of Delhi and particularly to the North East District to maintain peace and harmony.",0,[],280,False
"Team of PS Najafgarh, Dwarka District restored a 6 yrs old girl with her family within hours. The family had forgotten the girl on the bus. 
#OperationMilap
@LtGovDelhi 
@CPDelhi
@DelhiPolice https://t.co/4HN6CRc2Nr",0,[],215,True
"Gang of auto lifters busted by special staff of SED, 2 arrested , 6 vehicles and parts of 6 vehicles recovered from the factory used for dismantling the stolen vehicles. 12 cases solved.@DelhiPolice https://t.co/HM7AnF9xmr",0,[],222,True
"Team of PS Mohan Garden, Dwarka District, reunited 5 yrs old boy with his family in just 3 hrs. He was found wandering at Som Bazaar  market, Mohan Garden, 4 km away from his home.
#OperationMilap
@LtGovDelhi
@CPDelhi 
@DelhiPolice https://t.co/RTsw2GUQDA",0,[],255,True
@shaahid3 Please lodge a complaint on ‘https://t.co/RWOng1LTze’ for necessary action.,0,[],85,False
@RisNahata @Paytmcare Please lodge a complaint on ‘https://t.co/RWOng1LTze’ for necessary action.,0,[],97,False
Tenant/ Servant verification camp organized as part of #DelhiPoliceWeek in Shahbad Dairy &amp; Bhalswa Dairy and Senior Citizens registration Mela organized in Swaroop nagar @CPDelhi @splcpnorthdelpo @DelhiPolice https://t.co/v134ymsM5B,1,['DelhiPoliceWeek'],236,True
"OUTER NORTH  DISTRICT and Narcotics Control Bureau organized Awareness program on SAFETY OF CHILDREN  &amp; DRUG ABUSE PREVENTION in S P Badli @LtGovDelhi
@CPDelhi @splcpnorthdelpo @DelhiPolice
https://t.co/DAdBC3qgqE https://t.co/DjpXXoiEmP https://t.co/8ePoHz4GZP",0,[],265,True
"Nearly 300 students participated in the Self Defence program organised by New Delhi district,@DelhiPolice in Central Park,CP. An awareness program and Human Chain on #NoHonking was organised too. Through dance, the issues related to rights of women were raised.
@CPDelhi @HMOIndia https://t.co/EIQOy93Esx",0,[],304,True
"A high level delegation from Maldives, headed by the Hon'ble Home Minister, Mr. Sheikh Imran Abdulla, visited NCFL and CyPAD today. Briefed about NCFL's latest cyber forensic tools and on counter measures taken by @DelhiPolice to curb cybercrimes.
@HMOIndia 
@LtGovDelhi
@CPDelhi https://t.co/kJFbpoldPS",0,[],303,True
"Dwarka District police organised a 10 km Cycle Rally for promotion/awareness of Delhi Police Tatpar App and NGT guidelines on pollution. More than 500 cyclists from all over Delhi and police personnel enjoyed Yoga after the Cyclothon. 
#DelhiPoliceWeek
@CPDelhi
@DelhiPolice https://t.co/Qdp9vGdwqS",0,[],298,True
"Factory of fake products busted by DIU, with recovery of 90 plastic Bags of fake Surf Excel and Tide, 74 Bags of fake Tata Salt, Two Packing Machines and a lot of wrappers with arrest of Mukesh Garg R/o Old Anaj Mandi, Narela #OuterNorthDistrict @DelhiPolice @CPDelhi @LtGovDelhi https://t.co/tthrzgFMT6",0,[],303,True
@amirtkhan9 @HDFC_Bank Please lodge a complaint on ‘https://t.co/RWOng1LTze’ for necessary action.,0,[],98,False
"A country made pistol along with a live cartridge recovered by the alert beat staff of PS Swaroop Nagar, from the possession of one Manish  r/o Swaroop Nagar #OuterNorthDistrict @DelhiPolice @LtGovDelhi",0,[],202,True
@Anurag4Indian @panch_ambulance You are requested to contact Delhi Police Control Room at 112 for urgent Police assistance in this regard.,0,[],138,False
